Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2160,0,6700.0,14327.970396620365,2538.4675999994215,57959.3990000003,282.0,9.038968811164084,0.0,6700,11000,21000,27000,42000,44000,45000,46000,50000,58000,58000
,Aggregated,2160,0,6700.0,14327.970396620365,2538.4675999994215,57959.3990000003,282.0,9.038968811164084,0.0,6700,11000,21000,27000,42000,44000,45000,46000,50000,58000,58000
