Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,120,0,6700.0,7254.105927500616,4564.040800003568,12975.000400008867,282.0,5.683072824595922,0.0,6800,7300,8600,9700,10000,11000,12000,13000,13000,13000,13000
,Aggregated,120,0,6700.0,7254.105927500616,4564.040800003568,12975.000400008867,282.0,5.683072824595922,0.0,6800,7300,8600,9700,10000,11000,12000,13000,13000,13000,13000
